variable_1,variable_2
s14-00982,Environmental and Molecular Carcinogenesis
s14-00980,Growth Control
S13-00287,Growth Control
s14-00969,Growth Control
11-00909,Growth Control
11-00910,Growth Control
07-654,Growth Control
S12-01706,Growth Control
12238,Growth Control
S13-01185,Growth Control
S13-00943,Growth Control
S13-00715,Growth Control
S14-00306,Growth Control
s14-00685,Growth Control
s15-01206,Growth Control
S13-01029,Growth Control
19-Jun,Breast Cancer
s14-01913,Genitourinary Cancer
s14-01361,Genitourinary Cancer
S13-00429,Genitourinary Cancer
s14-00872,Genitourinary Cancer
s14-00626,Genitourinary Cancer
10-02057,Stem Cell Biology
S12-01906,Stem Cell Biology
s14-01925,Melanoma
s16-01513,Melanoma
s14-01970,Melanoma
s15-00950,Melanoma
11-00079,Melanoma
S12-01732,Melanoma
s16-00955,Melanoma
s15-00970,Melanoma
S12-00314,Melanoma
06-804,Melanoma
06-829,Melanoma
S12-01254,Melanoma
06-127,Melanoma
11-00080,Melanoma
S12-02301,Melanoma
S14-00196,Melanoma
S12-01864,Melanoma
S12-01596,Melanoma
s14-01068,Melanoma
s14-01459,Melanoma
s15-00902,Melanoma
21-May,Epidemiology Cancer Control
s14-01182,Epidemiology Cancer Control
06-890,Epidemiology Cancer Control
11462,Epidemiology Cancer Control
11456,Epidemiology Cancer Control
S12-03067,Epidemiology Cancer Control
11-01161,Growth Control
s14-01257,Immunology
S14-00208,Immunology
s14-00627,Immunology
s14-00390,Immunology
10-00841,Immunology
09-0521,Immunology
s14-01650,Genitourinary Cancer
s14-01594,Genitourinary Cancer
s15-00061,Genitourinary Cancer
s15-00941,Genitourinary Cancer
S12-03142,Genitourinary Cancer
s14-01098,Genitourinary Cancer
S13-01037,Genitourinary Cancer
11-00135,Growth Control
s14-01168,Growth Control
11-00394,Growth Control
S12-02464,Growth Control
s14-02086,Growth Control
s14-01541,Growth Control
s15-00420,Environmental and Molecular Carcinogenesis
10-00923,Genitourinary Cancer
s14-02164,Stem Cell Biology
s14-00923,Stem Cell Biology
S13-00361,Stem Cell Biology
S13-01316,Stem Cell Biology
S13-00686,Stem Cell Biology
S12-02028,Stem Cell Biology
s15-00107,Stem Cell Biology
s14-01855,Stem Cell Biology
S12-02345,Stem Cell Biology
s15-01128,Stem Cell Biology
s15-00525,Stem Cell Biology
s14-01132,Stem Cell Biology
s14-00843,Stem Cell Biology
11-00773,Stem Cell Biology
S13-00403,Epidemiology Cancer Control
s15-00690,Breast Cancer
s14-00795,Breast Cancer
S12-03902,Growth Control
S12-00609,Growth Control
09-0031,Stem Cell Biology
